arduino_timestamp,elapsed_time,capacitive_value
272328,0.11,2
272348,0.11,1
272368,0.11,2
272388,0.12,2
272408,0.14,3
272428,0.15,3
272448,0.17,3
2208,0.18,3
272228,0.2,2
272248,0.22,1
272268,0.24,2
272288,0.25,3
272308,0.27,2
272328,0.29,2
272348,0.3,1
272368,0.32,2
272388,0.34,2
272408,0.35,3
272428,0.37,3
272448,0.39,3
20,0.93,0
40,0.95,0
60,0.97,0
80,0.99,0
100,1.01,1
120,1.03,3
140,1.05,2
160,1.07,0
180,1.09,2
200,1.11,0
220,1.13,3
240,1.15,2
260,1.17,0
280,1.19,1
300,1.21,4
320,1.23,6
340,1.25,4
360,1.27,1
380,1.29,3
400,1.31,1
420,1.33,4
440,1.35,2
460,1.37,3
480,1.39,3
500,1.41,4
520,1.43,3
540,1.45,2
560,1.47,1
580,1.49,1
600,1.51,3
620,1.53,4
640,1.55,2
660,1.57,2
680,1.59,1
700,1.61,3
720,1.63,5
740,1.65,2
760,1.67,3
780,1.69,1
800,1.71,2
820,1.73,5
840,1.75,2
860,1.77,0
880,1.79,2
900,1.81,1
920,1.83,3
940,1.85,2
960,1.87,2
980,1.89,0
1000,1.91,4
1020,1.93,4
1040,1.95,4
1060,1.97,2
1080,1.99,1
1100,2.01,2
1120,2.03,6
1140,2.05,3
1160,2.07,3
1180,2.09,0
1200,2.11,4
1220,2.13,4
1240,2.15,4
1260,2.17,0
1280,2.19,3
1300,2.21,2
1320,2.23,2
1340,2.25,3
1360,2.27,0
1380,2.29,1
1400,2.31,4
1420,2.33,4
1440,2.35,3
1460,2.37,2
1480,2.39,1
1500,2.41,3
1520,2.43,4
1540,2.45,4
1560,2.47,3
1580,2.49,2
1600,2.51,3
1620,2.53,5
1640,2.55,3
1660,2.57,1
1680,2.59,0
1700,2.61,3
1720,2.63,6
1740,2.65,0
1760,2.67,3
1780,2.69,2
1800,2.71,4
1820,2.73,2
1840,2.75,3
1860,2.77,3
1880,2.79,2
1900,2.81,6
1920,2.83,6
1940,2.85,5
1960,2.87,2
1980,2.89,1
2000,2.91,5
2020,2.93,7
2040,2.95,3
2060,2.97,4
2080,2.99,5
2100,3.01,5
2120,3.03,6
2140,3.05,5
2160,3.07,5
2180,3.09,1
2200,3.11,3
2220,3.13,4
2240,3.15,2
2260,3.17,5
2280,3.19,5
2300,3.21,6
2320,3.23,5
2340,3.25,2
2360,3.27,2
2380,3.29,3
