rounded_base_hallway_data,rounded_stay_data,rounded_go_data,segments_to_wait,texture_history,texture_change_time,segments_until_revert,texture_revert,probe_texture_history,probe_time,puff_event,reward_event
18.0,17.0,29.0,13.0,assets/reward_mean100.jpg,5.9,26.0,9.32,,,,6.92
19.0,27.0,31.0,,assets/reward_mean100.jpg,13.62,32.0,17.03,,,,14.64
18.0,21.0,29.0,,assets/reward_mean100.jpg,22.77,29.0,26.76,,,,23.78
22.0,26.0,29.0,,assets/reward_mean100.jpg,30.73,33.0,,,,,31.75
8.0,22.0,28.0,,,,,,,,,
15.0,24.0,34.0,,,,,,,,,
14.0,41.0,29.0,,,,,,,,,
17.0,21.0,28.0,,,,,,,,,
24.0,28.0,29.0,,,,,,,,,
19.0,24.0,29.0,,,,,,,,,
22.0,26.0,29.0,,,,,,,,,
19.0,20.0,32.0,,,,,,,,,
22.0,22.0,30.0,,,,,,,,,
23.0,17.0,29.0,,,,,,,,,
8.0,17.0,30.0,,,,,,,,,
16.0,22.0,31.0,,,,,,,,,
15.0,27.0,27.0,,,,,,,,,
11.0,28.0,32.0,,,,,,,,,
20.0,24.0,31.0,,,,,,,,,
8.0,28.0,30.0,,,,,,,,,
19.0,23.0,29.0,,,,,,,,,
15.0,23.0,28.0,,,,,,,,,
21.0,26.0,31.0,,,,,,,,,
16.0,24.0,30.0,,,,,,,,,
23.0,28.0,32.0,,,,,,,,,
17.0,27.0,26.0,,,,,,,,,
10.0,26.0,30.0,,,,,,,,,
8.0,15.0,34.0,,,,,,,,,
13.0,28.0,27.0,,,,,,,,,
11.0,23.0,30.0,,,,,,,,,
18.0,16.0,32.0,,,,,,,,,
15.0,27.0,31.0,,,,,,,,,
19.0,31.0,31.0,,,,,,,,,
15.0,31.0,31.0,,,,,,,,,
20.0,30.0,33.0,,,,,,,,,
23.0,25.0,31.0,,,,,,,,,
9.0,26.0,30.0,,,,,,,,,
17.0,26.0,30.0,,,,,,,,,
16.0,24.0,28.0,,,,,,,,,
17.0,26.0,26.0,,,,,,,,,
13.0,17.0,33.0,,,,,,,,,
8.0,25.0,29.0,,,,,,,,,
16.0,29.0,32.0,,,,,,,,,
13.0,23.0,33.0,,,,,,,,,
13.0,23.0,31.0,,,,,,,,,
13.0,23.0,27.0,,,,,,,,,
9.0,25.0,32.0,,,,,,,,,
15.0,33.0,31.0,,,,,,,,,
20.0,27.0,32.0,,,,,,,,,
12.0,26.0,30.0,,,,,,,,,
12.0,27.0,32.0,,,,,,,,,
14.0,15.0,28.0,,,,,,,,,
16.0,27.0,33.0,,,,,,,,,
14.0,30.0,32.0,,,,,,,,,
10.0,20.0,32.0,,,,,,,,,
13.0,29.0,31.0,,,,,,,,,
25.0,21.0,32.0,,,,,,,,,
11.0,17.0,29.0,,,,,,,,,
26.0,23.0,27.0,,,,,,,,,
12.0,25.0,28.0,,,,,,,,,
28.0,27.0,32.0,,,,,,,,,
12.0,26.0,29.0,,,,,,,,,
12.0,30.0,30.0,,,,,,,,,
9.0,28.0,32.0,,,,,,,,,
13.0,27.0,32.0,,,,,,,,,
22.0,26.0,32.0,,,,,,,,,
18.0,29.0,30.0,,,,,,,,,
18.0,30.0,29.0,,,,,,,,,
9.0,21.0,32.0,,,,,,,,,
20.0,27.0,25.0,,,,,,,,,
10.0,26.0,29.0,,,,,,,,,
21.0,28.0,30.0,,,,,,,,,
18.0,17.0,30.0,,,,,,,,,
16.0,24.0,32.0,,,,,,,,,
10.0,23.0,29.0,,,,,,,,,
17.0,26.0,32.0,,,,,,,,,
16.0,32.0,27.0,,,,,,,,,
13.0,17.0,29.0,,,,,,,,,
12.0,24.0,30.0,,,,,,,,,
20.0,24.0,29.0,,,,,,,,,
17.0,25.0,30.0,,,,,,,,,
19.0,32.0,30.0,,,,,,,,,
20.0,33.0,24.0,,,,,,,,,
14.0,20.0,30.0,,,,,,,,,
13.0,34.0,30.0,,,,,,,,,
19.0,15.0,27.0,,,,,,,,,
11.0,22.0,30.0,,,,,,,,,
13.0,30.0,29.0,,,,,,,,,
17.0,18.0,30.0,,,,,,,,,
11.0,14.0,29.0,,,,,,,,,
20.0,23.0,33.0,,,,,,,,,
22.0,35.0,28.0,,,,,,,,,
18.0,25.0,27.0,,,,,,,,,
19.0,25.0,28.0,,,,,,,,,
19.0,21.0,29.0,,,,,,,,,
14.0,23.0,29.0,,,,,,,,,
13.0,22.0,26.0,,,,,,,,,
18.0,21.0,31.0,,,,,,,,,
17.0,24.0,33.0,,,,,,,,,
17.0,21.0,29.0,,,,,,,,,
8.0,23.0,27.0,,,,,,,,,
13.0,28.0,29.0,,,,,,,,,
11.0,24.0,28.0,,,,,,,,,
10.0,25.0,26.0,,,,,,,,,
15.0,32.0,36.0,,,,,,,,,
21.0,27.0,32.0,,,,,,,,,
19.0,24.0,29.0,,,,,,,,,
19.0,22.0,29.0,,,,,,,,,
13.0,20.0,32.0,,,,,,,,,
12.0,24.0,24.0,,,,,,,,,
23.0,24.0,31.0,,,,,,,,,
14.0,29.0,32.0,,,,,,,,,
19.0,24.0,29.0,,,,,,,,,
20.0,32.0,33.0,,,,,,,,,
20.0,24.0,30.0,,,,,,,,,
12.0,20.0,32.0,,,,,,,,,
22.0,28.0,32.0,,,,,,,,,
26.0,28.0,32.0,,,,,,,,,
11.0,25.0,29.0,,,,,,,,,
18.0,24.0,28.0,,,,,,,,,
9.0,33.0,34.0,,,,,,,,,
19.0,23.0,30.0,,,,,,,,,
16.0,25.0,29.0,,,,,,,,,
13.0,18.0,26.0,,,,,,,,,
11.0,15.0,32.0,,,,,,,,,
18.0,28.0,30.0,,,,,,,,,
18.0,29.0,32.0,,,,,,,,,
18.0,28.0,34.0,,,,,,,,,
12.0,26.0,26.0,,,,,,,,,
12.0,23.0,30.0,,,,,,,,,
15.0,24.0,30.0,,,,,,,,,
20.0,24.0,30.0,,,,,,,,,
16.0,20.0,27.0,,,,,,,,,
10.0,29.0,29.0,,,,,,,,,
16.0,28.0,30.0,,,,,,,,,
18.0,21.0,31.0,,,,,,,,,
13.0,26.0,29.0,,,,,,,,,
17.0,17.0,31.0,,,,,,,,,
21.0,22.0,30.0,,,,,,,,,
18.0,26.0,30.0,,,,,,,,,
