time_seconds	frame_number
1.67	1
1.70	2
1.73	3
1.76	4
1.78	5
1.82	6
1.84	7
1.87	8
1.90	9
1.92	10
1.96	11
1.98	12
2.02	13
2.04	14
2.07	15
2.10	16
2.13	17
2.16	18
2.19	19
2.22	20
2.24	21
2.27	22
2.30	23
2.33	24
2.36	25
2.39	26
2.42	27
2.45	28
2.47	29
2.51	30
2.53	31
2.56	32
2.59	33
2.62	34
2.65	35
2.68	36
2.70	37
2.73	38
2.77	39
2.79	40
2.83	41
2.85	42
2.87	43
2.91	44
2.93	45
2.97	46
2.99	47
3.02	48
3.05	49
3.09	50
3.11	51
3.14	52
3.17	53
3.20	54
3.22	55
3.25	56
3.28	57
3.30	58
3.34	59
3.37	60
3.39	61
3.43	62
3.45	63
3.49	64
3.51	65
3.54	66
3.56	67
3.60	68
3.62	69
3.66	70
3.68	71
3.71	72
3.75	73
3.77	74
3.80	75
3.83	76
3.86	77
3.89	78
3.91	79
3.94	80
3.97	81
4.00	82
4.04	83
4.06	84
4.09	85
4.11	86
4.15	87
4.17	88
4.21	89
4.23	90
4.26	91
4.29	92
4.32	93
4.35	94
4.37	95
4.41	96
4.43	97
4.46	98
4.49	99
4.52	100
4.55	101
4.57	102
4.61	103
4.63	104
4.67	105
4.69	106
4.71	107
4.75	108
4.78	109
4.80	110
4.84	111
4.86	112
4.89	113
4.92	114
4.95	115
4.97	116
5.01	117
5.04	118
5.08	119
5.10	120
5.13	121
5.15	122
5.19	123
5.21	124
5.24	125
5.27	126
5.30	127
5.32	128
5.36	129
5.38	130
5.42	131
5.44	132
5.46	133
5.50	134
5.53	135
5.55	136
5.58	137
5.61	138
5.65	139
5.67	140
5.70	141
5.73	142
5.76	143
5.78	144
5.82	145
5.85	146
5.87	147
5.90	148
5.93	149
5.95	150
5.99	151
6.02	152
6.05	153
6.07	154
6.10	155
6.14	156
6.16	157
6.19	158
6.22	159
6.25	160
6.27	161
6.30	162
6.33	163
6.37	164
6.39	165
6.42	166
6.45	167
6.48	168
6.50	169
6.54	170
6.57	171
6.59	172
6.62	173
6.65	174
6.68	175
6.71	176
6.74	177
6.77	178
6.79	179
6.82	180
6.86	181
6.88	182
6.91	183
6.94	184
6.97	185
7.00	186
7.03	187
7.06	188
7.08	189
7.12	190
7.14	191
7.16	192
7.20	193
7.23	194
7.25	195
7.29	196
7.31	197
7.34	198
7.37	199
7.40	200
7.43	201
7.46	202
7.48	203
7.52	204
7.54	205
7.57	206
7.60	207
7.63	208
7.66	209
7.69	210
7.71	211
7.75	212
7.77	213
7.80	214
7.83	215
7.87	216
7.89	217
7.92	218
7.94	219
7.98	220
8.00	221
8.04	222
8.06	223
8.09	224
8.12	225
8.15	226
8.17	227
8.21	228
8.23	229
8.27	230
8.29	231
8.33	232
8.35	233
8.38	234
8.41	235
8.44	236
8.47	237
8.50	238
8.52	239
8.55	240
8.58	241
8.61	242
8.64	243
8.66	244
8.69	245
8.72	246
8.75	247
8.79	248
8.81	249
8.84	250
8.86	251
8.90	252
8.92	253
8.96	254
8.99	255
9.01	256
9.04	257
9.07	258
9.10	259
9.13	260
9.16	261
9.18	262
9.21	263
9.24	264
9.28	265
9.30	266
9.33	267
9.36	268
9.39	269
9.41	270
9.45	271
9.47	272
9.49	273
9.54	274
9.56	275
9.59	276
9.62	277
9.65	278
9.67	279
9.70	280
9.73	281
9.76	282
9.79	283
9.82	284
9.85	285
9.88	286
9.90	287
9.94	288
9.96	289
9.99	290
10.02	291
10.05	292
10.08	293
10.11	294
10.14	295
10.16	296
10.20	297
10.22	298
10.25	299
10.28	300
10.31	301
10.33	302
10.37	303
10.39	304
10.42	305
10.45	306
10.47	307
10.51	308
10.54	309
10.57	310
10.60	311
10.62	312
10.66	313
10.69	314
10.71	315
10.75	316
10.77	317
10.79	318
10.83	319
10.85	320
10.89	321
10.91	322
10.94	323
10.97	324
11.00	325
11.02	326
11.06	327
11.08	328
11.12	329
11.14	330
11.17	331
11.21	332
11.23	333
11.25	334
11.29	335
11.32	336
11.34	337
11.38	338
11.40	339
11.44	340
11.46	341
11.49	342
11.52	343
11.55	344
11.57	345
11.61	346
11.63	347
11.67	348
11.70	349
11.72	350
11.74	351
11.78	352
11.81	353
11.84	354
11.86	355
11.89	356
11.92	357
11.95	358
11.99	359
12.01	360
12.03	361
12.07	362
12.09	363
12.12	364
12.14	365
12.18	366
12.21	367
12.24	368
12.27	369
12.29	370
12.33	371
12.35	372
12.38	373
12.41	374
12.44	375
12.47	376
12.50	377
12.53	378
12.55	379
12.59	380
12.61	381
12.64	382
12.67	383
12.70	384
12.73	385
12.75	386
12.79	387
12.82	388
12.84	389
12.88	390
12.90	391
12.93	392
12.96	393
12.98	394
13.02	395
13.04	396
13.07	397
13.11	398
13.13	399
13.15	400
13.19	401
13.22	402
13.24	403
13.28	404
13.30	405
13.34	406
13.36	407
13.39	408
13.42	409
13.45	410
13.48	411
13.51	412
13.53	413
13.56	414
13.60	415
13.62	416
13.64	417
13.68	418
13.71	419
13.74	420
13.76	421
13.79	422
13.82	423
13.85	424
13.88	425
13.91	426
13.94	427
13.97	428
14.00	429
14.02	430
14.05	431
14.08	432
14.11	433
14.14	434
14.17	435
14.19	436
14.23	437
14.25	438
14.28	439
14.32	440
14.34	441
14.36	442
14.40	443
14.42	444
14.45	445
14.49	446
14.51	447
14.54	448
14.57	449
14.60	450
14.63	451
14.66	452
14.68	453
14.71	454
14.74	455
14.77	456
14.80	457
14.83	458
14.86	459
14.89	460
14.92	461
14.95	462
14.97	463
15.01	464
15.03	465
15.06	466
15.09	467
15.12	468
15.15	469
15.18	470
15.20	471
15.24	472
15.27	473
15.29	474
